Time;TSR;Thrust;Power;Ct;Cp;MeanWind_Norm;Full_TI;Pitch;Omega
0;1.2e-11;276.949;2.74445e-07;0.00202388;1.33705e-13;15;0;-1.43117;-1e-11;
0.055;1.2e-11;276.949;2.74445e-07;0.00202388;1.33705e-13;15;0;-1.43117;-1e-11;
0.11;1.2e-11;260.336;3.08915e-07;0.00190248;1.50498e-13;15;0;-1.43117;-1e-11;
0.165;1.2e-11;260.304;3.08895e-07;0.00190224;1.50489e-13;15;0;-1.43117;-1e-11;
0.22;1.2e-11;243.26;3.31684e-07;0.00177769;1.61591e-13;15;0;-1.43117;-1e-11;
0.275;1.2e-11;233.848;3.42886e-07;0.00170891;1.67049e-13;15;0;-1.43117;-1e-11;
0.33;1.2e-11;222.572;3.5549e-07;0.00162651;1.73189e-13;15;0;-1.43117;-1e-11;
0.385;1.2e-11;214.574;3.63259e-07;0.00156806;1.76974e-13;15;0;-1.43117;-1e-11;
0.44;1.2e-11;206.003;3.70781e-07;0.00150542;1.80639e-13;15;0;-1.43117;-1e-11;
0.495;1.2e-11;198.642;3.76531e-07;0.00145163;1.8344e-13;15;0;-1.43117;-1e-11;
0.55;1.2e-11;191.601;3.81634e-07;0.00140017;1.85926e-13;15;0;-1.43117;-1e-11;
0.605;1.2e-11;185.484;3.85815e-07;0.00135547;1.87963e-13;15;0;-1.43117;-1e-11;
0.66;1.2e-11;179.96;3.89447e-07;0.00131511;1.89733e-13;15;0;-1.43117;-1e-11;
0.715;1.2e-11;175.122;3.92524e-07;0.00127975;1.91232e-13;15;0;-1.43117;-1e-11;
0.77;1.2e-11;170.83;3.95183e-07;0.00124839;1.92527e-13;15;0;-1.43117;-1e-11;
0.825;1.2e-11;167.061;3.97464e-07;0.00122085;1.93638e-13;15;0;-1.43117;-1e-11;
0.88;1.2e-11;163.737;3.99438e-07;0.00119655;1.946e-13;15;0;-1.43117;-1e-11;
0.935;1.2e-11;160.809;4.01145e-07;0.00117516;1.95432e-13;15;0;-1.43117;-1e-11;
0.99;1.2e-11;158.22;4.02629e-07;0.00115624;1.96154e-13;15;0;-1.43117;-1e-11;
1.045;1.2e-11;155.925;4.03921e-07;0.00113947;1.96784e-13;15;0;-1.43117;-1e-11;
1.1;1.2e-11;153.885;4.0505e-07;0.00112456;1.97334e-13;15;0;-1.43117;-1e-11;
1.155;1.2e-11;152.068;4.0604e-07;0.00111128;1.97816e-13;15;0;-1.43117;-1e-11;
1.21;1.2e-11;150.445;4.0691e-07;0.00109941;1.9824e-13;15;0;-1.43117;-1e-11;
1.265;1.2e-11;148.992;4.07677e-07;0.0010888;1.98614e-13;15;0;-1.43117;-1e-11;
1.32;1.2e-11;147.689;4.08356e-07;0.00107927;1.98945e-13;15;0;-1.43117;-1e-11;
1.375;1.2e-11;146.517;4.08958e-07;0.00107071;1.99238e-13;15;0;-1.43117;-1e-11;
1.43;1.2e-11;145.461;4.09494e-07;0.001063;1.99499e-13;15;0;-1.43117;-1e-11;
1.485;1.2e-11;144.509;4.09972e-07;0.00105603;1.99732e-13;15;0;-1.43117;-1e-11;
1.54;1.2e-11;143.647;4.104e-07;0.00104974;1.99941e-13;15;0;-1.43117;-1e-11;
1.595;1.2e-11;142.865;4.10784e-07;0.00104403;2.00128e-13;15;0;-1.43117;-1e-11;
1.65;1.2e-11;142.156;4.1113e-07;0.00103884;2.00296e-13;15;0;-1.43117;-1e-11;
1.705;1.2e-11;141.51;4.11442e-07;0.00103412;2.00448e-13;15;0;-1.43117;-1e-11;
1.76;1.2e-11;140.921;4.11724e-07;0.00102982;2.00585e-13;15;0;-1.43117;-1e-11;
1.815;1.2e-11;140.384;4.1198e-07;0.00102589;2.0071e-13;15;0;-1.43117;-1e-11;
1.87;1.2e-11;139.892;4.12212e-07;0.0010223;2.00823e-13;15;0;-1.43117;-1e-11;
1.925;1.2e-11;139.441;4.12424e-07;0.001019;2.00927e-13;15;0;-1.43117;-1e-11;
1.98;1.2e-11;139.027;4.12617e-07;0.00101598;2.01021e-13;15;0;-1.43117;-1e-11;
2.035;1.2e-11;138.646;4.12795e-07;0.0010132;2.01107e-13;15;0;-1.43117;-1e-11;
2.09;1.2e-11;138.296;4.12957e-07;0.00101063;2.01186e-13;15;0;-1.43117;-1e-11;
2.145;1.2e-11;137.972;4.13106e-07;0.00100827;2.01259e-13;15;0;-1.43117;-1e-11;
2.2;1.2e-11;137.673;4.13243e-07;0.00100608;2.01326e-13;15;0;-1.43117;-1e-11;
2.255;1.2e-11;137.396;4.1337e-07;0.00100406;2.01387e-13;15;0;-1.43117;-1e-11;
2.31;1.2e-11;137.139;4.13487e-07;0.00100218;2.01445e-13;15;0;-1.43117;-1e-11;
2.365;1.2e-11;136.901;4.13596e-07;0.00100044;2.01497e-13;15;0;-1.43117;-1e-11;
2.42;1.2e-11;136.679;4.13696e-07;0.000998818;2.01546e-13;15;0;-1.43117;-1e-11;
2.475;1.2e-11;136.473;4.13789e-07;0.000997309;2.01592e-13;15;0;-1.43117;-1e-11;
2.53;1.2e-11;136.28;4.13876e-07;0.000995902;2.01634e-13;15;0;-1.43117;-1e-11;
2.585;1.2e-11;136.1;4.13957e-07;0.000994588;2.01673e-13;15;0;-1.43117;-1e-11;
2.64;1.2e-11;135.932;4.14032e-07;0.00099336;2.0171e-13;15;0;-1.43117;-1e-11;
