r Fn10 Ft10 Fn15 Ft15 Fn24 Ft24
Fax    950.789970697 950.789970697 1676.44381054 1676.44381054 2040.15801539 2040.15801539
Torque 71.1124071429 71.1124071429 310.844651777 310.844651777 575.334324392 575.334324392
0.214106223786 3.36693974 -2.94570489 6.51447062 -3.76553444 15.18296732 -5.32260601
0.226391822313 4.53018468 -4.19207265 8.60272975 -5.26977422 19.78612527 -7.37257795
0.246757886353 2.68373286 -2.70673314 4.96668436 -3.32578274 11.20151209 -4.5822904
0.275040432978 2.93975816 -3.30183438 5.31519671 -3.9778864 11.73611021 -5.39317352
0.311011755639 4.65771562 -3.97015185 8.03872752 -4.65600917 16.92681095 -6.13111861
0.354382229183 13.17065948 -5.74681682 24.21896808 -6.64262328 49.40274947 -8.5424146
0.404802662529 39.50947685 0.72068136 44.7154944 -7.53706182 103.39031891 -9.40686868
0.461867107125 51.14261402 1.98429314 102.15332744 16.03883951 148.20336502 -5.37360294
0.525116097804 55.91864585 1.36183067 114.47133185 16.62712541 154.65418845 -6.28740308
0.594040402361 63.48868672 1.2779562 127.02130369 18.33756847 158.97310764 -6.53656747
0.668085078987 73.13936854 1.4148161 143.2466265 19.91364612 168.60233372 -11.85202269
0.746653962428 83.66717724 1.46036441 162.89446583 21.07401635 231.70620487 51.10599383
0.829114464326 96.13283864 1.69075693 183.5515702 22.82803028 251.56265113 55.0516997
0.914802666054 108.98798738 1.85840148 205.1787553 24.48700875 270.825032 58.35237521
1.00302864609 121.17489401 1.76926688 226.84988956 25.73426708 294.2995169 61.85766888
1.0930820666 137.14288284 2.23530762 262.69604191 29.90759812 311.94928948 60.77606218
1.1842378729 154.2574301 2.91381462 298.30507491 32.95692333 328.53027833 56.69759583
1.27576212424 170.59674661 3.32426711 326.02886408 34.70065207 353.67572487 55.49633353
1.36691793054 187.0876903 3.59396884 350.87316356 36.285316 385.23039974 58.2623509
1.45697135104 205.95961935 4.25282868 377.38531432 38.63490122 414.13561639 61.17500488
1.54519733108 218.9558818 4.78049855 397.83929837 39.86821196 460.55528207 74.26363726
1.63088553281 232.1597631 5.76463109 417.6750301 41.76785049 509.86397225 90.3394381
1.71334603471 248.26366294 6.8908373 438.50309913 43.94601653 548.94835957 100.24698582
1.79191491815 266.02582452 7.84265323 458.7830921 45.58366965 572.34877255 102.98631266
1.86595959477 283.30778418 8.95980473 475.71214117 46.9546947 590.008461 104.81100279
1.93488389933 299.73775904 10.18152154 488.7742648 47.83732965 604.13484128 106.02019857
1.99813289867 315.03736572 11.48694856 497.68754452 48.17542162 615.21932617 106.6221987
2.0551973346 328.91147347 12.76923259 502.27231246 47.74720192 624.8071285 106.67093108
2.10561776795 340.65930455 13.8381399 501.98761632 46.28709685 633.47693791 105.9701927
2.14898824149 346.78890094 14.61953688 492.12709863 43.69550507 631.50746786 103.09638793
2.18495956416 336.54090792 15.0153154 459.63681795 39.78665271 594.02996873 94.84208356
2.21324211944 277.59745475 14.01228688 369.01406032 33.25893767 465.49859219 74.64580021
2.23360818348 181.2856347 10.51583239 238.85645233 23.48386192 288.61341749 47.61096002
