x u10 v10 w10 u15 v15 w15 u24 v24 w24
-4.5 9.54897 0.0487853 -1.74858e-05 14.5641 0.0461106 0.000300392 23.78 0.0253212 1.12117e-06
-4.496 9.54821 0.048882 -1.71951e-05 14.5634 0.0462038 0.000300479 23.7796 0.0253738 1.12971e-06
-4.492 9.54745 0.0489787 -1.71462e-05 14.5627 0.0462973 0.000300502 23.7792 0.0254267 1.04313e-06
-4.488 9.54668 0.0490758 -1.68342e-05 14.5619 0.0463909 0.000300591 23.7788 0.0254794 1.1105e-06
-4.48399 9.54592 0.0491731 -1.67214e-05 14.5612 0.0464844 0.000300665 23.7784 0.0255324 1.02117e-06
-4.47999 9.54516 0.0492709 -1.65052e-05 14.5604 0.0465784 0.000300655 23.778 0.0255854 9.80897e-07
-4.47599 9.54439 0.0493687 -1.62163e-05 14.5597 0.0466727 0.000300879 23.7776 0.0256389 9.99816e-07
-4.47199 9.54362 0.0494666 -1.60671e-05 14.559 0.046767 0.000300934 23.7772 0.0256924 1.01197e-06
-4.46799 9.54285 0.0495651 -1.59476e-05 14.5582 0.0468616 0.00030095 23.7768 0.0257458 9.16961e-07
-4.46399 9.54208 0.0496636 -1.57044e-05 14.5575 0.0469568 0.000300975 23.7764 0.0257996 9.53023e-07
-4.45998 9.54131 0.0497621 -1.55909e-05 14.5567 0.0470522 0.000301168 23.776 0.0258532 9.01997e-07
-4.45598 9.54053 0.049861 -1.54079e-05 14.556 0.0471475 0.000301191 23.7755 0.0259071 8.12678e-07
-4.45198 9.53976 0.0499602 -1.52416e-05 14.5552 0.0472433 0.000301131 23.7751 0.0259614 8.06674e-07
-4.44798 9.53898 0.0500594 -1.50004e-05 14.5545 0.0473392 0.000301105 23.7747 0.0260156 8.37603e-07
-4.44398 9.5382 0.0501592 -1.48558e-05 14.5537 0.0474351 0.000301199 23.7743 0.0260699 7.90305e-07
-4.43998 9.53742 0.050259 -1.45861e-05 14.553 0.0475318 0.000301254 23.7739 0.0261245 7.53003e-07
-4.43598 9.53664 0.0503592 -1.43242e-05 14.5522 0.0476282 0.000301338 23.7735 0.0261791 6.80855e-07
-4.43197 9.53585 0.0504594 -1.42009e-05 14.5515 0.0477252 0.000301307 23.7731 0.0262338 5.94217e-07
-4.42797 9.53507 0.0505598 -1.401e-05 14.5507 0.0478226 0.000301422 23.7727 0.0262889 5.33768e-07
-4.42397 9.53428 0.0506611 -1.38719e-05 14.55 0.0479198 0.000301521 23.7722 0.026344 6.06867e-07
-4.41997 9.53349 0.050762 -1.35834e-05 14.5492 0.0480173 0.000301741 23.7718 0.0263993 5.53728e-07
-4.41597 9.5327 0.050863 -1.34009e-05 14.5485 0.0481151 0.000301649 23.7714 0.0264544 4.72712e-07
-4.41197 9.53191 0.0509653 -1.33276e-05 14.5477 0.0482136 0.000301776 23.771 0.02651 4.91966e-07
-4.40796 9.53111 0.0510665 -1.31005e-05 14.5469 0.0483116 0.000301758 23.7706 0.0265655 4.86383e-07
-4.40396 9.53032 0.0511685 -1.28692e-05 14.5462 0.0484101 0.000301831 23.7702 0.0266213 4.18783e-07
-4.39996 9.52952 0.0512707 -1.25883e-05 14.5454 0.048509 0.000301871 23.7697 0.0266771 3.66774e-07
-4.39596 9.52872 0.051373 -1.24043e-05 14.5446 0.0486077 0.000301958 23.7693 0.0267334 3.81167e-07
-4.39196 9.52793 0.0514757 -1.22549e-05 14.5439 0.0487073 0.000302073 23.7689 0.0267897 3.3557e-07
-4.38796 9.52712 0.0515789 -1.19355e-05 14.5431 0.0488066 0.000302041 23.7685 0.026846 2.52728e-07
-4.38396 9.52632 0.0516825 -1.18657e-05 14.5423 0.0489067 0.000302191 23.768 0.0269024 2.54113e-07
-4.37995 9.52552 0.0517852 -1.16514e-05 14.5415 0.0490066 0.000302057 23.7676 0.0269591 2.51662e-07
-4.37595 9.52471 0.0518894 -1.14909e-05 14.5408 0.0491069 0.00030229 23.7672 0.027016 1.8753e-07
-4.37195 9.5239 0.0519932 -1.11827e-05 14.54 0.0492079 0.000302409 23.7668 0.027073 1.354e-07
-4.36795 9.52309 0.0520972 -1.09316e-05 14.5392 0.0493083 0.000302486 23.7663 0.02713 1.54514e-07
-4.36395 9.52228 0.0522018 -1.08362e-05 14.5384 0.0494096 0.000302601 23.7659 0.0271872 4.04596e-08
-4.35995 9.52147 0.0523063 -1.0658e-05 14.5376 0.0495109 0.000302625 23.7655 0.0272446 -2.83252e-08
-4.35595 9.52065 0.0524115 -1.0452e-05 14.5369 0.0496123 0.00030271 23.765 0.0273019 -6.38615e-08
-4.35194 9.51984 0.0525167 -1.02165e-05 14.5361 0.0497141 0.000302731 23.7646 0.0273599 2.93374e-08
-4.34794 9.51902 0.0526224 -9.93914e-06 14.5353 0.049816 0.000302776 23.7642 0.0274175 -5.5209e-08
-4.34394 9.5182 0.0527282 -9.80488e-06 14.5345 0.0499183 0.00030295 23.7637 0.0274755 -1.3739e-07
-4.33994 9.51738 0.0528342 -9.63222e-06 14.5337 0.0500208 0.000302896 23.7633 0.0275338 -4.38155e-08
-4.33594 9.51656 0.0529404 -9.32665e-06 14.5329 0.0501235 0.000302981 23.7629 0.027592 -1.23724e-07
-4.33194 9.51573 0.0530466 -9.11556e-06 14.5321 0.0502268 0.000303156 23.7624 0.0276505 -2.19393e-07
-4.32793 9.51491 0.0531536 -8.96306e-06 14.5313 0.0503299 0.000303155 23.762 0.027709 -2.11235e-07
-4.32393 9.51408 0.0532606 -8.8433e-06 14.5305 0.0504335 0.000303252 23.7616 0.0277678 -2.70465e-07
-4.31993 9.51325 0.0533676 -8.49808e-06 14.5297 0.0505374 0.000303353 23.7611 0.0278267 -2.93826e-07
-4.31593 9.51242 0.0534753 -8.34337e-06 14.5289 0.0506414 0.000303366 23.7607 0.0278858 -3.51117e-07
-4.31193 9.51159 0.0535827 -8.23807e-06 14.5281 0.0507457 0.000303504 23.7602 0.0279449 -3.42772e-07
-4.30793 9.51075 0.0536907 -7.97272e-06 14.5273 0.0508505 0.000303521 23.7598 0.0280043 -4.44854e-07
-4.30393 9.50991 0.0537989 -7.75717e-06 14.5265 0.0509554 0.000303585 23.7594 0.0280638 -4.00173e-07
-4.29992 9.50907 0.0539079 -7.53548e-06 14.5257 0.0510603 0.000303722 23.7589 0.0281234 -5.20251e-07
-4.29592 9.50823 0.0540163 -7.29731e-06 14.5249 0.0511659 0.00030377 23.7585 0.0281831 -5.59457e-07
-4.29192 9.50739 0.0541252 -7.08569e-06 14.5241 0.0512715 0.000303782 23.758 0.028243 -5.28712e-07
-4.28792 9.50655 0.0542345 -6.94334e-06 14.5233 0.0513772 0.000303805 23.7576 0.0283032 -5.89743e-07
-4.28392 9.5057 0.0543441 -6.84313e-06 14.5224 0.0514835 0.000303871 23.7571 0.0283636 -6.44814e-07
-4.27992 9.50486 0.0544539 -6.51479e-06 14.5216 0.0515902 0.000304005 23.7567 0.0284239 -7.12691e-07
-4.27591 9.50401 0.0545638 -6.2931e-06 14.5208 0.0516968 0.000303847 23.7562 0.0284846 -7.52545e-07
-4.27191 9.50316 0.0546743 -5.98784e-06 14.52 0.0518036 0.000303937 23.7558 0.0285452 -7.9839e-07
-4.26791 9.50231 0.0547852 -5.75447e-06 14.5192 0.0519108 0.000304038 23.7553 0.0286061 -8.72204e-07
-4.26391 9.50146 0.0548961 -5.60417e-06 14.5184 0.0520186 0.00030406 23.7549 0.0286672 -8.5203e-07
-4.25991 9.5006 0.055007 -5.30144e-06 14.5175 0.0521264 0.000304173 23.7544 0.0287285 -8.94001e-07
-4.25591 9.49974 0.0551184 -5.23711e-06 14.5167 0.0522342 0.000304289 23.754 0.0287899 -9.00937e-07
-4.25191 9.49888 0.0552302 -4.8989e-06 14.5159 0.0523429 0.000304294 23.7535 0.0288514 -1.00061e-06
-4.2479 9.49802 0.0553415 -4.76935e-06 14.515 0.0524513 0.000304399 23.7531 0.028913 -1.02374e-06
