x u10 v10 w10 u15 v15 w15 u24 v24 w24
-4.5 9.59482 0.134226 -3.93768e-05 14.6083 0.12809 0.000275444 23.8049 0.0700294 -4.70324e-05
-4.496 9.59417 0.134488 -3.91978e-05 14.6077 0.128342 0.000275393 23.8045 0.0701703 -4.72945e-05
-4.492 9.59351 0.13475 -3.90427e-05 14.6071 0.128593 0.000275378 23.8042 0.0703119 -4.74871e-05
-4.488 9.59286 0.135013 -3.90145e-05 14.6064 0.128846 0.000275283 23.8039 0.0704538 -4.77395e-05
-4.48399 9.59221 0.135275 -3.88909e-05 14.6058 0.129099 0.000275173 23.8035 0.070596 -4.80043e-05
-4.47999 9.59155 0.13554 -3.87102e-05 14.6052 0.129353 0.000275071 23.8032 0.0707387 -4.81936e-05
-4.47599 9.5909 0.135803 -3.86554e-05 14.6045 0.129607 0.000275182 23.8028 0.0708816 -4.84373e-05
-4.47199 9.59024 0.13607 -3.85486e-05 14.6039 0.129862 0.000275117 23.8025 0.0710248 -4.86763e-05
-4.46799 9.58958 0.136335 -3.83267e-05 14.6033 0.130118 0.000274952 23.8022 0.0711682 -4.8871e-05
-4.46399 9.58892 0.136602 -3.83764e-05 14.6027 0.130374 0.000274869 23.8018 0.0713123 -4.9113e-05
-4.45998 9.58826 0.13687 -3.82442e-05 14.602 0.13063 0.000274914 23.8015 0.0714569 -4.94048e-05
-4.45598 9.58759 0.137137 -3.80416e-05 14.6014 0.130888 0.000274798 23.8011 0.0716012 -4.9643e-05
-4.45198 9.58693 0.137405 -3.79787e-05 14.6008 0.131146 0.000274862 23.8008 0.0717466 -4.98766e-05
-4.44798 9.58626 0.137674 -3.78001e-05 14.6001 0.131405 0.000274723 23.8004 0.0718921 -5.00535e-05
-4.44398 9.5856 0.137945 -3.76731e-05 14.5995 0.131664 0.000274719 23.8001 0.0720377 -5.03064e-05
-4.43998 9.58493 0.138214 -3.76052e-05 14.5988 0.131925 0.000274627 23.7998 0.0721839 -5.04693e-05
-4.43598 9.58426 0.138485 -3.74194e-05 14.5982 0.132185 0.000274557 23.7994 0.0723306 -5.08042e-05
-4.43197 9.58359 0.138756 -3.73377e-05 14.5976 0.132446 0.000274435 23.7991 0.0724776 -5.10105e-05
-4.42797 9.58292 0.139029 -3.72124e-05 14.5969 0.132708 0.000274462 23.7987 0.0726249 -5.12375e-05
-4.42397 9.58224 0.139303 -3.71117e-05 14.5963 0.13297 0.000274451 23.7984 0.0727725 -5.15333e-05
-4.41997 9.58157 0.139575 -3.69608e-05 14.5956 0.133233 0.00027435 23.798 0.0729204 -5.17241e-05
-4.41597 9.58089 0.13985 -3.69214e-05 14.595 0.133498 0.000274332 23.7977 0.073069 -5.20114e-05
-4.41197 9.58021 0.140125 -3.68881e-05 14.5943 0.133761 0.000274196 23.7973 0.0732177 -5.22668e-05
-4.40796 9.57953 0.1404 -3.66771e-05 14.5937 0.134026 0.000274283 23.797 0.0733668 -5.24848e-05
-4.40396 9.57885 0.140677 -3.6542e-05 14.593 0.134292 0.000274186 23.7966 0.0735165 -5.27958e-05
-4.39996 9.57817 0.140954 -3.64209e-05 14.5924 0.134559 0.000274023 23.7963 0.0736665 -5.30575e-05
-4.39596 9.57749 0.141233 -3.62891e-05 14.5917 0.134826 0.000274037 23.7959 0.0738167 -5.32986e-05
-4.39196 9.57681 0.141509 -3.6185e-05 14.5911 0.135094 0.000273834 23.7955 0.0739673 -5.35909e-05
-4.38796 9.57613 0.141789 -3.60676e-05 14.5904 0.135362 0.000273774 23.7952 0.0741183 -5.37911e-05
-4.38396 9.57544 0.142068 -3.59047e-05 14.5898 0.135631 0.000273715 23.7948 0.0742698 -5.40926e-05
-4.37995 9.57475 0.142348 -3.58285e-05 14.5891 0.1359 0.000273648 23.7945 0.0744218 -5.42915e-05
-4.37595 9.57406 0.142628 -3.57067e-05 14.5884 0.136171 0.000273654 23.7941 0.074574 -5.45236e-05
-4.37195 9.57337 0.14291 -3.54396e-05 14.5878 0.136442 0.00027349 23.7938 0.0747265 -5.47789e-05
-4.36795 9.57268 0.143192 -3.54401e-05 14.5871 0.136715 0.000273581 23.7934 0.0748797 -5.5095e-05
-4.36395 9.57199 0.143475 -3.52896e-05 14.5865 0.136986 0.000273368 23.793 0.0750328 -5.53525e-05
-4.35995 9.57129 0.143759 -3.51809e-05 14.5858 0.13726 0.000273326 23.7927 0.075187 -5.55708e-05
-4.35595 9.5706 0.144043 -3.49908e-05 14.5851 0.137533 0.00027329 23.7923 0.0753415 -5.57895e-05
-4.35194 9.5699 0.144329 -3.47759e-05 14.5845 0.137807 0.000273194 23.792 0.0754958 -5.6095e-05
-4.34794 9.5692 0.144613 -3.47322e-05 14.5838 0.138082 0.000273156 23.7916 0.075651 -5.63037e-05
-4.34394 9.5685 0.1449 -3.4684e-05 14.5831 0.138359 0.000273088 23.7912 0.0758066 -5.6668e-05
-4.33994 9.5678 0.145187 -3.45232e-05 14.5825 0.138636 0.000273038 23.7909 0.0759624 -5.68901e-05
-4.33594 9.5671 0.145475 -3.43852e-05 14.5818 0.138912 0.000272916 23.7905 0.0761184 -5.72521e-05
-4.33194 9.5664 0.145763 -3.43772e-05 14.5811 0.13919 0.000272932 23.7901 0.0762749 -5.74866e-05
-4.32793 9.56569 0.146052 -3.41982e-05 14.5804 0.139469 0.000272792 23.7898 0.0764325 -5.78041e-05
-4.32393 9.56499 0.146342 -3.41194e-05 14.5798 0.139748 0.00027276 23.7894 0.0765896 -5.80499e-05
-4.31993 9.56428 0.146633 -3.39154e-05 14.5791 0.140028 0.000272598 23.7891 0.0767472 -5.83352e-05
-4.31593 9.56357 0.146923 -3.37872e-05 14.5784 0.140309 0.000272573 23.7887 0.0769054 -5.85663e-05
-4.31193 9.56286 0.147215 -3.37049e-05 14.5777 0.140589 0.000272447 23.7883 0.0770644 -5.89014e-05
-4.30793 9.56215 0.147508 -3.35967e-05 14.5771 0.140871 0.000272414 23.7879 0.077223 -5.91987e-05
-4.30393 9.56144 0.147801 -3.35137e-05 14.5764 0.141154 0.000272269 23.7876 0.0773826 -5.94235e-05
-4.29992 9.56072 0.148094 -3.32517e-05 14.5757 0.141438 0.000272313 23.7872 0.0775423 -5.96346e-05
-4.29592 9.56 0.148388 -3.32333e-05 14.575 0.141723 0.000272133 23.7868 0.0777026 -5.99933e-05
-4.29192 9.55929 0.148684 -3.30032e-05 14.5743 0.142007 0.000271999 23.7865 0.0778636 -6.02306e-05
-4.28792 9.55857 0.148981 -3.29435e-05 14.5736 0.142292 0.000271944 23.7861 0.0780245 -6.04722e-05
-4.28392 9.55785 0.149277 -3.27293e-05 14.5729 0.142579 0.000271807 23.7857 0.0781861 -6.0749e-05
-4.27992 9.55713 0.149575 -3.25796e-05 14.5723 0.142866 0.000271756 23.7853 0.0783479 -6.10468e-05
-4.27591 9.55641 0.149874 -3.23349e-05 14.5716 0.143154 0.000271653 23.785 0.0785103 -6.14035e-05
-4.27191 9.55568 0.150172 -3.23501e-05 14.5709 0.143441 0.000271631 23.7846 0.0786731 -6.16734e-05
-4.26791 9.55496 0.150472 -3.23409e-05 14.5702 0.143731 0.000271462 23.7842 0.078836 -6.18844e-05
-4.26391 9.55423 0.150772 -3.21529e-05 14.5695 0.14402 0.000271303 23.7838 0.0789998 -6.22204e-05
-4.25991 9.5535 0.151074 -3.19869e-05 14.5688 0.144311 0.000271243 23.7835 0.0791639 -6.25575e-05
-4.25591 9.55277 0.151374 -3.19801e-05 14.5681 0.144602 0.000271206 23.7831 0.079328 -6.28698e-05
-4.25191 9.55203 0.151676 -3.16991e-05 14.5674 0.144894 0.000271021 23.7827 0.0794929 -6.31391e-05
-4.2479 9.55129 0.15198 -3.16696e-05 14.5667 0.145186 0.000270918 23.7823 0.0796584 -6.3452e-05
-4.2439 9.55056 0.152284 -3.16089e-05 14.566 0.14548 0.000270827 23.7819 0.0798244 -6.36984e-05
-4.2399 9.54982 0.152589 -3.14441e-05 14.5653 0.145775 0.00027081 23.7816 0.0799903 -6.41057e-05
-4.2359 9.54909 0.152895 -3.12487e-05 14.5646 0.146069 0.00027063 23.7812 0.0801571 -6.4371e-05
-4.2319 9.54835 0.1532 -3.11434e-05 14.5639 0.146366 0.000270585 23.7808 0.0803238 -6.45933e-05
-4.2279 9.54761 0.153508 -3.09959e-05 14.5632 0.146662 0.000270377 23.7804 0.0804912 -6.49455e-05
-4.22389 9.54687 0.153815 -3.07913e-05 14.5625 0.146959 0.000270299 23.78 0.0806595 -6.52295e-05
-4.21989 9.54613 0.154124 -3.07907e-05 14.5617 0.147257 0.000270289 23.7796 0.0808275 -6.55348e-05
-4.21589 9.54538 0.154433 -3.06253e-05 14.561 0.147555 0.000270103 23.7793 0.0809966 -6.5846e-05
-4.21189 9.54464 0.154742 -3.05692e-05 14.5603 0.147855 0.000270055 23.7789 0.0811658 -6.61495e-05
-4.20789 9.54389 0.155054 -3.04207e-05 14.5596 0.148154 0.000270033 23.7785 0.0813351 -6.64152e-05
-4.20389 9.54314 0.155364 -3.01785e-05 14.5589 0.148456 0.000269948 23.7781 0.0815051 -6.67356e-05
-4.19989 9.54239 0.155677 -3.00325e-05 14.5582 0.148756 0.000269734 23.7777 0.0816757 -6.70812e-05
-4.19588 9.54164 0.155989 -2.99411e-05 14.5575 0.14906 0.000269633 23.7773 0.0818469 -6.73554e-05
-4.19188 9.54089 0.156304 -2.9778e-05 14.5567 0.149362 0.000269658 23.7769 0.0820185 -6.77128e-05
-4.18788 9.54013 0.156618 -2.96627e-05 14.556 0.149666 0.000269475 23.7765 0.0821902 -6.80019e-05
-4.18388 9.53938 0.156933 -2.95365e-05 14.5553 0.14997 0.000269449 23.7761 0.0823625 -6.83107e-05
-4.17988 9.53862 0.157248 -2.94883e-05 14.5546 0.150275 0.0002694 23.7758 0.0825353 -6.86164e-05
-4.17588 9.53786 0.157565 -2.92427e-05 14.5538 0.150582 0.000269326 23.7754 0.0827084 -6.90297e-05
-4.17188 9.5371 0.157883 -2.91737e-05 14.5531 0.150889 0.000269166 23.775 0.0828822 -6.92695e-05
-4.16787 9.53634 0.158201 -2.91376e-05 14.5524 0.151196 0.000269044 23.7746 0.0830559 -6.9633e-05
-4.16387 9.53558 0.158519 -2.90414e-05 14.5517 0.151505 0.000268956 23.7742 0.0832309 -6.98627e-05
-4.15987 9.53482 0.15884 -2.88537e-05 14.5509 0.151814 0.000268907 23.7738 0.0834056 -7.01278e-05
-4.15587 9.53405 0.159161 -2.86398e-05 14.5502 0.152124 0.000268655 23.7734 0.0835815 -7.06379e-05
-4.15187 9.53328 0.159482 -2.85591e-05 14.5495 0.152435 0.000268451 23.773 0.0837574 -7.09403e-05
-4.14787 9.53251 0.159804 -2.843e-05 14.5487 0.152746 0.000268397 23.7726 0.0839338 -7.1228e-05
-4.14386 9.53174 0.160127 -2.82638e-05 14.548 0.153059 0.000268199 23.7722 0.0841106 -7.1613e-05
-4.13986 9.53097 0.16045 -2.81622e-05 14.5473 0.153371 0.000268193 23.7718 0.084288 -7.19153e-05
-4.13586 9.5302 0.160774 -2.80523e-05 14.5465 0.153686 0.000267882 23.7714 0.0844655 -7.21898e-05
-4.13186 9.52942 0.1611 -2.78681e-05 14.5458 0.154 0.000267958 23.771 0.0846437 -7.25865e-05
-4.12786 9.52865 0.161427 -2.78383e-05 14.545 0.154317 0.00026782 23.7706 0.0848223 -7.28449e-05
-4.12386 9.52787 0.161753 -2.76583e-05 14.5443 0.154632 0.000267742 23.7702 0.0850019 -7.3291e-05
-4.11986 9.52709 0.162081 -2.75581e-05 14.5435 0.15495 0.000267625 23.7698 0.0851813 -7.34903e-05
-4.11585 9.5263 0.162411 -2.74498e-05 14.5428 0.155267 0.000267553 23.7694 0.0853612 -7.39056e-05
-4.11185 9.52553 0.16274 -2.72861e-05 14.5421 0.155587 0.000267448 23.769 0.0855425 -7.42081e-05
-4.10785 9.52474 0.163069 -2.7014e-05 14.5413 0.155907 0.000267305 23.7685 0.0857239 -7.4514e-05
-4.10385 9.52395 0.163401 -2.69457e-05 14.5406 0.156227 0.000267209 23.7681 0.0859051 -7.48729e-05
-4.09985 9.52317 0.163731 -2.69164e-05 14.5398 0.156548 0.000267005 23.7677 0.086087 -7.52556e-05
-4.09585 9.52238 0.164065 -2.679e-05 14.539 0.15687 0.000266736 23.7673 0.0862699 -7.55566e-05
-4.09184 9.52159 0.164397 -2.66987e-05 14.5383 0.157192 0.000266765 23.7669 0.0864528 -7.59031e-05
-4.08784 9.52079 0.164731 -2.65052e-05 14.5375 0.157516 0.000266597 23.7665 0.0866358 -7.62595e-05
-4.08384 9.52 0.165067 -2.63538e-05 14.5368 0.15784 0.000266496 23.7661 0.0868197 -7.66341e-05
-4.07984 9.5192 0.165402 -2.6274e-05 14.536 0.158166 0.0002663 23.7657 0.0870041 -7.70032e-05
-4.07584 9.51841 0.165739 -2.61908e-05 14.5353 0.158492 0.000266188 23.7653 0.0871891 -7.73289e-05
-4.07184 9.51761 0.166076 -2.59504e-05 14.5345 0.158819 0.000265982 23.7648 0.0873748 -7.76188e-05
-4.06784 9.51681 0.166414 -2.58865e-05 14.5337 0.159147 0.000265954 23.7644 0.0875606 -7.81166e-05
-4.06383 9.51601 0.166753 -2.57497e-05 14.533 0.159475 0.000265731 23.764 0.0877472 -7.84311e-05
-4.05983 9.51521 0.167093 -2.55736e-05 14.5322 0.159806 0.00026552 23.7636 0.0879341 -7.88627e-05
-4.05583 9.5144 0.167434 -2.54881e-05 14.5314 0.160135 0.000265451 23.7632 0.0881213 -7.91644e-05
-4.05183 9.5136 0.167774 -2.5311e-05 14.5307 0.160467 0.000265315 23.7628 0.0883093 -7.94329e-05
-4.04783 9.51279 0.168117 -2.51437e-05 14.5299 0.160799 0.000265092 23.7623 0.0884975 -7.99285e-05
-4.04383 9.51198 0.16846 -2.50933e-05 14.5291 0.161131 0.000264856 23.7619 0.0886867 -8.0287e-05
-4.03982 9.51117 0.168805 -2.49619e-05 14.5283 0.161464 0.000264862 23.7615 0.0888759 -8.05406e-05
-4.03582 9.51036 0.16915 -2.47516e-05 14.5276 0.161799 0.000264609 23.7611 0.0890656 -8.09669e-05
-4.03182 9.50954 0.169495 -2.47044e-05 14.5268 0.162135 0.000264607 23.7607 0.0892558 -8.12987e-05
-4.02782 9.50873 0.169843 -2.45511e-05 14.526 0.16247 0.000264375 23.7602 0.0894468 -8.17606e-05
