r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.3 11.5953116876 -0.301699999336 -0.139995367973 16.8782142086 -0.196457227629 -0.132604718693 25.5291356885 0.0897415411047 -0.154363341916
0.301614 11.5845151689 -0.303573308306 -0.147616159874 16.870691915 -0.196785837631 -0.140368936789 25.5226378976 0.090935932822 -0.163595102562
0.303228 11.5728431908 -0.305599770779 -0.155718002344 16.8627499123 -0.197156416749 -0.148561749409 25.5158900648 0.0921182755609 -0.173150730475
0.304842 11.5602407949 -0.307782743441 -0.164414707252 16.8543110756 -0.197603286304 -0.157216639123 25.5089588983 0.0932931924214 -0.182926343776
0.306456 11.5465580644 -0.310119843814 -0.173815721028 16.845356488 -0.198164438442 -0.166382367278 25.5018640234 0.0944677994156 -0.192815154762
0.30807 11.5316783739 -0.312600553566 -0.183982992511 16.8358146079 -0.198861164888 -0.176118913585 25.49467794 0.0956607214201 -0.202723667414
0.309684 11.5155222236 -0.315223170214 -0.194954927158 16.8256600601 -0.199726592791 -0.186484523982 25.4873663565 0.0968928452277 -0.212606734147
0.311298 11.4981199468 -0.317978338778 -0.206736668266 16.814788886 -0.200782650514 -0.197549364031 25.479954773 0.098199626621 -0.222505945044
0.312912 11.4793823767 -0.320873125954 -0.219315073264 16.8031971691 -0.202047976854 -0.209368958838 25.4723343558 0.0996069770601 -0.232553065374
0.314526 11.459378097 -0.323892115085 -0.232668352485 16.7908181592 -0.203525335982 -0.222003371857 25.4644099381 0.101116007226 -0.242975648093
0.316139 11.4380727743 -0.327044590387 -0.246769469988 16.7776185646 -0.205216719986 -0.235482026489 25.4560473531 0.102724541657 -0.254045532923
0.317753 11.4154919089 -0.330334301905 -0.261594100669 16.7635650935 -0.207124073869 -0.249824921927 25.447122017 0.104391627767 -0.26603860124
0.319367 11.3916648341 -0.333753345483 -0.277117047347 16.7486655793 -0.209243041372 -0.265037031107 25.4375220963 0.106070934343 -0.279144754274
0.320981 11.3665160917 -0.337303692839 -0.293323083671 16.732924897 -0.211569591239 -0.281097025643 25.4272427578 0.107693517077 -0.293465947223
0.322595 11.3400561817 -0.340969419808 -0.310190573717 16.7163969633 -0.214103425136 -0.297964440038 25.4162212512 0.109201599196 -0.309006265935
0.324209 11.3123421877 -0.344751114745 -0.327709561561 16.6990984034 -0.21684683265 -0.31557533333 25.4045409517 0.110527537562 -0.325686366097
0.325823 11.2832995265 -0.348614197642 -0.345873505462 16.6810705506 -0.219801590457 -0.33384106285 25.392190026 0.111629761084 -0.343397651649
0.327437 11.2528965314 -0.352532876794 -0.364680400765 16.6624760302 -0.222966545632 -0.352667026313 25.3793057243 0.112467175692 -0.362010130673
0.329051 11.2211284524 -0.356481545524 -0.384130341574 16.6433363424 -0.226338310677 -0.371928872648 25.3658832134 0.113007337363 -0.381400507095
0.330665 11.1879422064 -0.360412867944 -0.404230793256 16.623763404 -0.229915992668 -0.391501755752 25.3520028266 0.113234886599 -0.401457822366
0.332279 11.1533043768 -0.36429473816 -0.424989439516 16.6039031736 -0.233683423663 -0.411232555338 25.3376793557 0.113128341828 -0.422095447139
0.333893 11.1171785884 -0.36806953944 -0.446426616367 16.5838636099 -0.237612090689 -0.430979874023 25.3229695091 0.112694563967 -0.443238531277
0.335507 11.0794863415 -0.371701253376 -0.468555034337 16.563812213 -0.241683996202 -0.450582783157 25.3078587868 0.111921370917 -0.464842070524
0.337121 11.0402070109 -0.375133934883 -0.491401804297 16.5438069415 -0.245840120937 -0.469895173279 25.2923940639 0.110815551733 -0.486859364794
0.338735 10.99926993 -0.378320179718 -0.514984737885 16.5239644206 -0.250030371864 -0.488779191615 25.2765959654 0.109393784322 -0.509262643194
0.340349 10.9566515154 -0.381215440298 -0.539321240166 16.5044219006 -0.254181958841 -0.507120617929 25.2604145329 0.107673063552 -0.53203164736
0.341963 10.9122744338 -0.383796422419 -0.564428900572 16.4851706316 -0.258205045874 -0.524835637051 25.2439076415 0.105685147109 -0.555142848079
0.343577 10.8662041852 -0.386031211852 -0.590310856832 16.4662702802 -0.262013496934 -0.541884750573 25.2270292079 0.103456415836 -0.578589707846
0.34519 10.8183998528 -0.387899196082 -0.616957620002 16.4477913465 -0.26550067974 -0.558277315173 25.2098468153 0.10103326962 -0.602365347479
0.346804 10.7688926866 -0.389406937598 -0.644354624072 16.4294743719 -0.268570759105 -0.574086195163 25.1922898387 0.0984563405404 -0.626469191979
0.348418 10.7177633949 -0.390547178939 -0.672457422384 16.4112985645 -0.271128941093 -0.589433299958 25.1743701948 0.0957600372929 -0.650907137197
0.350032 10.6651366028 -0.391338870974 -0.70121004994 16.3930609658 -0.273107868904 -0.604508389919 25.1560623002 0.0929980273177 -0.675691287327
0.351646 10.611118477 -0.391802688768 -0.730529290052 16.3745439918 -0.27445815411 -0.619525117988 25.1373592382 0.0902118423174 -0.700845679924
0.35326 10.5559327675 -0.391974185768 -0.760308598106 16.3555524755 -0.275156119577 -0.634746508842 25.1182719255 0.0874309654365 -0.726387319188
0.354874 10.4997905161 -0.391889644574 -0.790426265713 16.3358648748 -0.275220697026 -0.650419623815 25.0987139869 0.0846833638559 -0.752350417692
0.356488 10.4429382646 -0.391577960305 -0.820739198217 16.3151733558 -0.274684701942 -0.666797473409 25.0786981725 0.0819929385363 -0.778770738003
0.358102 10.3856354298 -0.391076679771 -0.851089348871 16.2933602517 -0.273637822421 -0.684082046358 25.0581853988 0.0793615128554 -0.805671663515
0.359716 10.3282003868 -0.390420335618 -0.881311105071 16.2702735203 -0.272149824021 -0.702436283813 25.0371901242 0.0768003118741 -0.833086802626
0.36133 10.2709488025 -0.389631224654 -0.911245301309 16.2457897865 -0.270330751559 -0.721960662641 25.0156233902 0.0742841139214 -0.86103688038
0.362944 10.2141030104 -0.388732961193 -0.940726150392 16.2198560502 -0.268276953145 -0.742706637112 24.9935771969 0.0718094620759 -0.889539867651
0.364558 10.1579567606 -0.387740638699 -0.969614545138 16.1925104781 -0.266085600239 -0.764666529705 24.9709652942 0.0693461506426 -0.918603181119
0.366172 10.1027081366 -0.386657199803 -0.997787376305 16.1637432786 -0.263848909695 -0.787795433659 24.9477858071 0.0668788489669 -0.948220437445
0.367786 10.0485347635 -0.385474152964 -1.02514893382 16.1336467017 -0.261653583358 -0.812000975459 24.9240562773 0.0643789433191 -0.978375832436
0.3694 9.99551830793 -0.384182422446 -1.05165026266 16.1022872895 -0.259552331766 -0.837182905722 24.8998228298 0.061820902737 -1.00904932022
0.371014 9.9437178117 -0.382754529999 -1.07726318737 16.0697612087 -0.257593245423 -0.863219905044 24.875072673 0.0591863848885 -1.04020590488
0.372628 9.89308166643 -0.381169259027 -1.10201172296 16.0361675012 -0.25580630317 -0.889990194013 24.8497764735 0.0564684369665 -1.07180370719
0.374241 9.84351492204 -0.379381259965 -1.12594780488 16.0015785004 -0.254216075469 -0.917373742383 24.8240420648 0.0536566820331 -1.10379848955
0.375855 9.79483790341 -0.37735807868 -1.1491663836 15.96607979 -0.252823207343 -0.945261809928 24.7978459052 0.050751928167 -1.13613592269
0.377469 9.74685890629 -0.375053715554 -1.17178529002 15.9297642866 -0.251636929218 -0.973552882283 24.7712378698 0.04776306031 -1.16875586067
0.379083 9.69931264303 -0.37242309803 -1.19393845421 15.8926565738 -0.250639016918 -1.00216708928 24.744236792 0.0447058228986 -1.20160829921
0.380697 9.65192108852 -0.369434342705 -1.21576975209 15.854815485 -0.249810075422 -1.03103382494 24.7169072552 0.0415993079304 -1.23463891737
0.382311 9.60443314678 -0.366043851542 -1.23742672791 15.8162693536 -0.249147454298 -1.06009855665 24.6892483011 0.0384547722668 -1.26779232755
0.383925 9.55659993439 -0.362233058176 -1.25904040756 15.777051638 -0.248600652237 -1.08932988269 24.6612805964 0.0353039956248 -1.30101383797
0.385539 9.50820876378 -0.357989855785 -1.28071279109 15.7371368382 -0.248159852562 -1.11870102715 24.6330598079 0.0321617169563 -1.33425568186
0.387153 9.45910747242 -0.35330593837 -1.30253594104 15.6965346207 -0.247801907305 -1.14820443169 24.6046303106 0.0290601596159 -1.36747294666
0.388767 9.40919118947 -0.348196362424 -1.32456018661 15.6552107773 -0.247496836026 -1.17784365047 24.5759753129 0.0260053336954 -1.40062301977
0.390381 9.35842254832 -0.342677805037 -1.34679994444 15.6131437246 -0.247226073692 -1.20762616019 24.5471457732 0.0230183571523 -1.43366689694
0.391995 9.30683468237 -0.336793898207 -1.36923617285 15.5702677125 -0.246964561943 -1.23757100254 24.5181741082 0.0201079737483 -1.46657405728
0.393609 9.25450895421 -0.330587728774 -1.39182400098 15.5265730326 -0.246692623251 -1.26770810758 24.4890573179 0.0172764284914 -1.49932078408
0.395223 9.20159148062 -0.324105335093 -1.4144910913 15.4820242682 -0.246403587221 -1.29806268785 24.4597974857 0.0145377143243 -1.53187623145
0.396837 9.14826038256 -0.317419922865 -1.43713572292 15.4365656274 -0.246089526337 -1.32867540593 24.4304640284 0.0118779362166 -1.56422745352
0.398451 9.09473843515 -0.310586238309 -1.45964896662 15.3901010268 -0.245740990616 -1.35957128273 24.4010599875 0.0092932708255 -1.59635731278
0.400065 9.04126118429 -0.303683607589 -1.48191505988 15.3426283414 -0.2453491088 -1.39079481413 24.3715383214 0.0067922239952 -1.62826245921
0.401679 8.9880893759 -0.296778735214 -1.50379509849 15.2940576127 -0.244939327209 -1.42238462107 24.3419088634 0.0043530877726 -1.65993804695
0.403292 8.9354827933 -0.289943540725 -1.52517246579 15.2443984239 -0.244502348354 -1.45437443277 24.3122372386 0.0019778671513 -1.69138825104
0.404906 8.88370725734 -0.283243936998 -1.54591782011 15.1934499415 -0.244058946463 -1.48679426597 24.2824331969 -0.0003360162039 -1.72261851315
0.40652 8.83301853873 -0.276737800276 -1.56591887399 15.1412924155 -0.243636177857 -1.51967863323 24.2525664467 -0.0025868102081 -1.7536442833
