r u10 v10 w10 u15 v15 w15 u24 v24 w24
0.3 8.22007642975 -0.521228843833 -0.0114504976011 13.2972141649 -0.670809741266 -0.0208669447412 23.2735648133 -0.560199514313 -0.0250013109219
0.301614 8.21605678452 -0.522945655082 -0.0114988963215 13.2921202856 -0.673197780697 -0.020952237687 23.269387685 -0.562183719889 -0.0250970377013
0.303228 8.21201928928 -0.524642371315 -0.0115463495023 13.2870097395 -0.675558321352 -0.0210354728848 23.2651899316 -0.564145091277 -0.0251915952339
0.304842 8.20796846903 -0.526313298354 -0.0115955001439 13.2818619435 -0.67789398032 -0.0211187892961 23.2609460949 -0.56608208806 -0.0252863596049
0.306456 8.20389912794 -0.527961872457 -0.0116433423295 13.2766887307 -0.680201188428 -0.0212028670871 23.2567110916 -0.567996175656 -0.0253795419773
0.30807 8.199817341 -0.529588029874 -0.0116907051391 13.271494893 -0.682480514843 -0.0212847155453 23.2524261298 -0.569885181145 -0.0254723643124
0.309684 8.19570779987 -0.531192015185 -0.0117378657443 13.2663098469 -0.68473148498 -0.0213675555929 23.2481490431 -0.571748884945 -0.0255642146919
0.311298 8.19159178374 -0.532773695062 -0.0117831345987 13.2610533008 -0.68695422634 -0.0214484960594 23.2438385814 -0.573587652055 -0.0256545636591
0.312912 8.1874614551 -0.534332445749 -0.0118303704153 13.2557761297 -0.689148826424 -0.0215296544063 23.2395251196 -0.575402651227 -0.0257455934622
0.314526 8.18331271812 -0.535866198915 -0.0118764452328 13.2505038335 -0.691316278986 -0.0216101888366 23.2351774079 -0.577193232044 -0.0258352419344
0.316139 8.17915701029 -0.537378909978 -0.0119216216337 13.2451845374 -0.693453634019 -0.0216905015231 23.2308130295 -0.578956733255 -0.0259248691608
0.317753 8.17498670246 -0.538866022269 -0.0119673796211 13.2398583245 -0.695561816941 -0.0217698886681 23.2264281093 -0.580696128611 -0.0260130098062
0.319367 8.17079757795 -0.540331732874 -0.0120131135671 13.23448032 -0.697640656503 -0.0218486291922 23.2220471059 -0.582409921863 -0.0261005899956
0.320981 8.16658442424 -0.541770992624 -0.0120565529707 13.2291119822 -0.699689666874 -0.0219263443434 23.2175955191 -0.584097156342 -0.0261880592744
0.322595 8.16236649555 -0.543188511516 -0.0121005382528 13.2237348944 -0.701709217215 -0.0220042707904 23.2131732657 -0.585759677882 -0.0262738299276
0.324209 8.15813445852 -0.544580518305 -0.0121445558688 13.2182959731 -0.703699095032 -0.022082361699 23.2087216788 -0.5873964569 -0.0263589354587
0.325823 8.15389837147 -0.545948317573 -0.0121885040686 13.2128521769 -0.705658629071 -0.0221598817367 23.204240717 -0.589005418396 -0.0264433109507
