r Fn10 Ft10 Fn15 Ft15 Fn24 Ft24 
Fax 
Torque 
0.2259375 1.86903604899 -1.73559502942 3.34862989634 -1.94430722261 7.38150459392 -2.57164932741
0.2578125 1.44443562181 -1.51533348816 2.54820636695 -1.6705827547 5.4323752534 -2.13279057267
0.2896875 2.02145803823 -2.49066529304 3.48261498247 -2.68727855189 7.13864532562 -3.36635406006
0.3215625 3.95223809583 -3.9853365002 6.56631465899 -4.13875494039 12.7014513481 -5.05331174825
0.3534375 10.4355069043 -4.05495323357 17.4265787139 -4.55108575699 32.0000684302 -5.17871640392
0.3853125 15.2566157958 -3.88154188941 20.1532906212 -6.83707282563 36.1702341086 -7.34255959284
0.4171875 35.4911150464 0.378705227734 40.8668711326 2.33456781153 61.6007293131 -5.41485594146
0.4490625 50.7585357364 3.77795043824 72.8229492509 14.8048698441 91.0119499343 -2.44508523367
0.4809375 45.2196849448 1.21173677354 87.1285395523 13.8029702616 92.7486570832 -3.18290081788
0.5128125 47.3850350033 0.694238631404 95.5592678602 13.3657069038 91.8654864749 -3.57504805718
0.5446875 51.4884448614 0.840389497489 100.059542325 14.1231238859 100.637031082 -3.89912135162
0.5765625 55.9173785901 0.931970951696 106.565067825 14.7488554446 105.552675334 -4.19601726479
0.6084375 59.3005397109 0.694788454262 117.89167169 15.1789560723 106.811541512 -4.34310160244
0.6403125 63.3429211479 0.72553858903 125.246972121 15.8259550861 115.642549341 -1.55927381745
0.6721875 67.9633010901 1.0103762043 128.09953705 16.724342999 142.785582447 24.2899121597
0.7040625 72.0770263346 0.817974373027 140.699393599 17.0942526688 165.1394102 36.3433520367
0.7359375 76.1493229032 1.0101068296 143.766289396 17.782060615 172.521799669 37.870589843
0.7678125 81.1429394491 0.9173141773 156.116928751 18.1802676714 184.560177213 39.8110561075
0.7996875 85.6117072352 1.17461032622 159.012832003 18.8402460302 189.455045367 41.0920267815
0.8315625 91.7096697755 1.20915335376 171.445007812 19.4812636744 201.520455279 42.9837874939
0.8634375 96.3027055277 1.248541165 179.226027905 20.1265684729 210.36978569 44.5741567583
0.8953125 101.069339195 1.54599960724 182.940715187 20.9800129391 214.21387818 45.6169922941
0.9271875 106.283380989 1.65649220421 191.124085968 21.7346473567 222.837432148 47.039866704
0.9590625 110.404070058 1.59899927321 198.534979878 22.1408951399 231.781450384 48.3770373843
0.9909375 114.787647802 1.56861559499 205.444618533 22.3800081415 240.868243471 49.7500001995
1.0228125 119.888981682 1.35704115164 216.988203369 22.4781626656 259.243530938 53.1122210188
1.0546875 129.655378004 2.14059339542 236.444025977 25.0672921538 263.289761788 50.2052271151
1.0865625 131.616717566 2.02111694416 237.718960855 24.9415544168 265.732920482 50.5109996851
1.1184375 135.337655826 1.88243044142 243.565734699 24.7876471601 275.528982875 52.1599637468
1.1503125 149.769117648 3.06658042537 270.141545894 27.5432994663 282.701393832 46.9798081829
1.1821875 154.277402949 3.02357712649 276.1378352 27.4948430401 291.730312354 48.0930497812
1.2140625 157.284407479 3.09263621841 278.683380256 27.974246948 294.075412857 48.1563125577
1.2459375 166.797842306 3.82944038799 293.65426934 29.8453038935 298.091615103 45.1524597718
1.2778125 175.019284744 3.99540310827 306.325980091 30.1309959196 313.779703871 47.0186517617
1.3096875 178.714090435 4.12905307008 309.646968334 30.7330669464 316.982783186 46.9521241686
1.3415625 187.09909194 4.2518772422 322.71430797 31.0912138187 333.260762816 48.8347073285
1.3734375 190.533060835 4.38211314197 326.886787224 31.9972958128 336.260103574 48.9266452746
1.4053125 197.621201548 4.68527163622 336.245344893 32.7792582444 345.087925735 49.9747732076
1.4371875 204.726774604 4.9661851077 344.271617621 33.1869184409 354.010778783 51.0003025123
1.4690625 215.076182208 5.38741112377 359.632352447 34.2231980924 370.476428058 53.0284103713
1.5009375 212.633520879 5.4310561809 357.684948165 34.2313658692 386.05793227 61.3299867877
1.5328125 222.595547112 5.72044095865 372.783652398 35.2885623182 405.209429886 63.4407788014
1.5646875 226.826748796 5.9654416561 376.218161506 36.1179088388 409.532682599 63.442390875
1.5965625 230.261358617 6.39179250868 384.782756463 35.933941992 441.019696205 74.9193659245
1.6284375 234.130450501 6.60236120533 387.98246964 37.0250226212 441.084210162 74.4130973239
1.6603125 241.301400894 6.98849151201 396.018261217 37.3943252252 448.653179911 75.0647971684
1.6921875 246.725837116 7.2035118552 406.493819104 37.709414122 465.982068792 80.8796592762
1.7240625 253.383426957 7.48600993739 413.979630582 38.3980540193 470.897989874 81.3020958104
1.7559375 256.459782157 7.67045991701 416.231928183 38.9129164498 465.325980087 80.3670331958
1.7878125 268.218611008 8.46396148729 428.324705704 40.0262936644 476.541844141 82.1039425943
1.8196875 271.040261011 8.56426045745 430.883783512 40.6312471099 468.33538361 80.4954021301
1.8515625 277.676338275 9.04883608266 436.698407751 41.4628573548 467.779579846 80.1499370536
1.8834375 283.645056469 9.46983793246 441.298880851 42.0212047522 465.163836918 79.4198670845
1.9153125 292.405537112 9.73808857294 446.300809309 42.2300072335 466.079720222 80.3276644573
1.9471875 298.538998828 10.0497173731 448.496368171 42.7025332489 457.870404661 78.885773743
1.9790625 304.085081137 10.4123628894 447.915994874 42.8727177087 446.630458282 77.1266656624
2.0109375 309.39319486 10.9465456731 446.642569069 43.2874016078 432.098738038 74.9175901167
2.0428125 312.297079974 11.2683403123 441.527520461 43.2595458847 413.888682938 72.1824787404
2.0746875 312.727646344 11.2627768333 429.258230506 43.5352736018 391.417263828 67.2644453516
2.1065625 314.719104357 11.6329010613 416.961677645 44.0732297857 364.341426446 63.2735070369
2.1384375 324.894224943 13.1990388139 393.270668994 44.2668351807 325.1419418 58.9590719873
2.1703125 316.271398492 16.3818883329 333.917078472 41.8930585817 266.505896648 49.6788642611
2.2021875 230.679067588 16.3644919822 214.032516008 30.0956175837 176.508994122 33.3631592067
2.2340625 79.6353653498 7.42418929018 65.6054493416 10.0219721579 54.8739175757 10.701958965
