r  Veff10 alpha10 ui10 utan10 cn10 ct10 Veff15 alpha15 ui15 utan15 cn15 ct15 Veff24 alpha24 ui24 utan24 cn24 ct24 
0.2896875 15.1624276747 39.0632568849  9.3412873593 11.9398861956 0.14512110223 -0.178805637208 18.6136092833 52.3452648912  14.5301793161 11.6299312662 0.165900463527 -0.128013219845 25.6630245296 64.7529523512  23.0138422881 11.3553721268 0.178897161269 -0.0843621104149
0.3215625 16.0997232484 32.9500076468  9.16545383857 13.2297980109 0.201129631811 -0.202814011578 19.0893018417 46.4929999087  14.239370008 12.7033342451 0.237690256866 -0.149816415444 25.4684705037 59.4359481223  22.3210950088 12.2637563422 0.258295833084 -0.102763796993
0.3534375 17.1239560816 25.6716134726  8.62163427027 14.7915811679 0.390941476853 -0.151909190444 19.5518189738 39.9282733505  13.694882724 13.9417213362 0.500776807711 -0.130781734867 25.3395434511 53.6190212292  21.5338638726 13.3554067363 0.547469268373 -0.088599438059
0.3853125 18.3609947423 18.3974502478  7.97864616583 16.5346157782 0.425916056651 -0.108360270547 20.2909381962 32.7956220131  13.0790913537 15.5058944784 0.460680603753 -0.15628747168 24.9713116285 47.2856648504  20.3682087029 14.445212553 0.545917261465 -0.110821235302
0.4171875 20.0387155393 11.0392475401  7.24504583604 18.6819782161 0.727604137531 0.0077638442817 21.6896228299 24.1101764515  12.2104264098 17.9219648191 0.7151261595 0.0408524182763 24.478838876 39.8251974456  18.7475333598 15.7383772264 0.846290572578 -0.0743910272853
0.4490625 21.2086485364 5.72537872753  6.79156122308 20.0907575248 0.825521610664 0.0614434535106 22.8797418581 17.0849760821  11.4516060891 19.8052254869 1.01768031702 0.206893909013 25.0721857286 34.1286729803  18.3619919059 17.0702444906 1.05915465321 -0.0284547623099
0.4809375 22.7149937768 3.30709826284  6.6952828556 21.7051862129 0.618425864242 0.0165717510488 24.2554659094 12.5998751396  10.7974167045 21.7174742612 1.04502468429 0.165553614395 25.7384800267 30.5694968266  18.0111156241 18.3852324893 0.987932321968 -0.0339033544473
0.5128125 24.4293660712 2.76456977803  6.81572850762 23.4588907182 0.567610785269 0.00831607140752 26.0972456215 10.3965167402  10.5438692965 23.8706060951 1.00303778991 0.140293133398 26.3940082897 28.6018142603  17.6737345222 19.6020839871 0.94270434696 -0.0366863930451
0.5446875 25.4740192447 2.8365015439  6.87559283094 24.5281727866 0.578830413869 0.00944761493481 26.7989105783 10.5230727163  10.6190603856 24.6034034872 1.0163908479 0.143460718766 27.6707749324 28.6818790059  18.3377865513 20.7207252471 0.958852235402 -0.0371501542117
0.5765625 26.774921037 2.85126089247  6.89625400685 25.8711524143 0.583579292128 0.00972647434463 27.9757786591 10.2246981302  10.614701402 25.8821642201 1.01873204179 0.140994905064 28.7796030495 28.2008682968  18.6059776042 21.9552257163 0.953474567101 -0.0379033097211
0.6084375 28.4388867839 2.63845878092  6.86324195978 27.5979599405 0.562975198134 0.00659603891644 29.8274375798 9.48155961416  10.5953071032 27.8806547069 1.01743584941 0.130998346559 30.0477677943 26.9630889829  18.618334791 23.5834180073 0.908342333512 -0.0369344266396
